Data of Review,Rating (Out of 10)
2004-10-06 00:00:00,10
2019-06-11 00:00:00,10
2015-10-20 00:00:00,6
2005-11-24 00:00:00,6
2004-06-19 00:00:00,10
2005-02-20 00:00:00,10
2003-11-09 00:00:00,9
2006-03-28 00:00:00,10
2005-02-01 00:00:00,10
2004-09-25 00:00:00,10
2006-10-25 00:00:00,8
2006-01-10 00:00:00,9
2012-09-17 00:00:00,7
2005-07-16 00:00:00,10
2005-05-24 00:00:00,10
2005-02-02 00:00:00,10
2005-01-01 00:00:00,8
2013-10-31 00:00:00,4
2013-06-22 00:00:00,3
2005-06-18 00:00:00,10
2005-07-08 00:00:00,10
2005-05-10 00:00:00,10
2003-10-08 00:00:00,5
2005-06-27 00:00:00,10
2018-10-20 00:00:00,6
2006-01-11 00:00:00,10
2003-09-29 00:00:00,9
2003-04-17 00:00:00,4
2005-01-27 00:00:00,10
2004-05-08 00:00:00,10
2004-04-19 00:00:00,10
2003-12-20 00:00:00,10
2003-07-15 00:00:00,10
2010-04-17 00:00:00,10
2005-04-07 00:00:00,10
2005-03-21 00:00:00,10
2006-12-11 00:00:00,10
2005-09-10 00:00:00,9
2005-06-11 00:00:00,9
2004-11-09 00:00:00,8
2004-05-24 00:00:00,9
2004-02-10 00:00:00,9
2004-01-23 00:00:00,9
2004-01-18 00:00:00,9
2003-09-07 00:00:00,10
2003-09-01 00:00:00,10
2003-08-14 00:00:00,10
2002-10-31 00:00:00,10
2002-10-26 00:00:00,10
2002-08-29 00:00:00,10
2003-04-28 00:00:00,1
2004-08-13 00:00:00,1
2013-12-29 00:00:00,1
2006-09-07 00:00:00,5
2003-09-21 00:00:00,2
2017-08-18 00:00:00,10
2006-07-26 00:00:00,10
2006-01-30 00:00:00,9
2006-01-16 00:00:00,10
2005-06-05 00:00:00,10
2005-04-19 00:00:00,10
2005-02-22 00:00:00,10
2004-12-10 00:00:00,10
2004-01-29 00:00:00,9
2003-09-28 00:00:00,9
2003-08-01 00:00:00,9
2003-04-29 00:00:00,10
2002-10-31 00:00:00,10
2002-10-31 00:00:00,10
2002-10-28 00:00:00,10
2002-10-26 00:00:00,10
2002-10-27 00:00:00,10
2019-03-21 00:00:00,1
2006-07-07 00:00:00,6
2019-09-02 00:00:00,10
2019-08-05 00:00:00,10
2018-03-06 00:00:00,10
2017-08-26 00:00:00,10
2015-06-05 00:00:00,10
2010-03-11 00:00:00,10
2007-03-04 00:00:00,10
2006-12-30 00:00:00,10
2006-12-28 00:00:00,10
2006-11-14 00:00:00,9
2006-11-07 00:00:00,8
2006-10-23 00:00:00,10
2006-09-26 00:00:00,10
2006-09-10 00:00:00,10
2006-08-31 00:00:00,10
2006-08-26 00:00:00,7
2006-08-11 00:00:00,10
2006-08-04 00:00:00,10
2006-07-31 00:00:00,10
2006-07-22 00:00:00,10
2006-05-13 00:00:00,10
2006-04-25 00:00:00,10
2006-02-16 00:00:00,10
2006-01-04 00:00:00,10
2005-12-27 00:00:00,10
2005-10-14 00:00:00,10
2005-04-02 00:00:00,10
2005-03-15 00:00:00,10
2005-03-11 00:00:00,10
2004-11-07 00:00:00,10
2004-08-22 00:00:00,10
2004-07-06 00:00:00,10
2004-05-29 00:00:00,10
2004-05-02 00:00:00,10
2004-03-24 00:00:00,10
2004-01-29 00:00:00,10
2004-01-17 00:00:00,10
2003-12-07 00:00:00,8
2003-10-24 00:00:00,10
2003-09-26 00:00:00,10
2003-09-26 00:00:00,10
2003-09-22 00:00:00,10
2003-09-14 00:00:00,7
2003-08-20 00:00:00,10
2003-07-29 00:00:00,8
2003-07-04 00:00:00,10
2003-04-07 00:00:00,10
2003-03-06 00:00:00,10
2003-03-05 00:00:00,10
2003-03-02 00:00:00,10
2003-03-02 00:00:00,10
2003-02-21 00:00:00,10
2003-02-15 00:00:00,10
2003-01-31 00:00:00,10
2003-01-24 00:00:00,10
2002-11-02 00:00:00,10
2002-11-01 00:00:00,10
2002-10-22 00:00:00,10
2002-10-20 00:00:00,10
2002-10-20 00:00:00,10
2002-10-19 00:00:00,10
2002-10-16 00:00:00,10
2002-10-15 00:00:00,10
2002-10-16 00:00:00,10
2002-10-14 00:00:00,10
2002-10-14 00:00:00,10
2002-10-13 00:00:00,10
2002-10-13 00:00:00,10
2002-10-09 00:00:00,10
2002-10-07 00:00:00,10
2002-10-07 00:00:00,10
2002-10-06 00:00:00,10
2002-10-07 00:00:00,10
2002-10-05 00:00:00,10
2002-09-30 00:00:00,10
2002-09-25 00:00:00,10
2002-09-25 00:00:00,10
2002-09-25 00:00:00,10
2002-09-24 00:00:00,10
2002-09-22 00:00:00,10
2002-09-21 00:00:00,10
2002-09-21 00:00:00,10
2002-06-30 00:00:00,10
2004-01-07 00:00:00,2
2019-12-31 00:00:00,6
2019-11-25 00:00:00,10
2019-11-10 00:00:00,10
2019-09-17 00:00:00,10
2019-08-23 00:00:00,9
2019-07-27 00:00:00,10
2019-07-03 00:00:00,10
2019-06-09 00:00:00,10
2019-04-24 00:00:00,8
2019-03-02 00:00:00,8
2019-01-19 00:00:00,9
2019-01-17 00:00:00,8
2019-01-08 00:00:00,8
2018-12-29 00:00:00,10
2017-08-26 00:00:00,10
2017-08-14 00:00:00,9
2017-07-03 00:00:00,10
2017-06-28 00:00:00,10
2017-06-26 00:00:00,10
2008-08-22 00:00:00,10
2007-03-17 00:00:00,9
2006-11-16 00:00:00,9
2003-10-02 00:00:00,8
2003-06-08 00:00:00,10
2003-06-07 00:00:00,8
2003-06-03 00:00:00,8
2003-06-07 00:00:00,8
2016-08-30 00:00:00,1
2003-11-09 00:00:00,1
2005-06-30 00:00:00,2
2003-03-30 00:00:00,6
2003-04-26 00:00:00,2
2015-04-12 00:00:00,5
2003-04-19 00:00:00,6
2003-04-16 00:00:00,4
2018-02-27 00:00:00,5
2014-01-12 00:00:00,5
2005-07-19 00:00:00,10
2019-02-01 00:00:00,2
2017-07-08 00:00:00,7
2009-04-17 00:00:00,7
2008-03-10 00:00:00,10
2007-08-07 00:00:00,10
2007-05-08 00:00:00,8
2006-04-01 00:00:00,10
2006-03-25 00:00:00,7
2006-02-03 00:00:00,10
2002-09-20 00:00:00,10
2007-06-11 00:00:00,9
2004-01-07 00:00:00,2
2002-10-07 00:00:00,2
2003-09-13 00:00:00,2
2003-04-18 00:00:00,4
2013-04-04 00:00:00,6
2014-02-27 00:00:00,5
2007-01-01 00:00:00,10
2002-11-11 00:00:00,6
2002-01-03 00:00:00,10
2001-09-02 00:00:00,10
2011-04-20 00:00:00,1
2003-03-10 00:00:00,3
2004-05-04 00:00:00,1
2018-09-14 00:00:00,1
2007-06-10 00:00:00,6
2004-02-12 00:00:00,1
2019-03-20 00:00:00,5
2014-04-20 00:00:00,9
2011-07-10 00:00:00,10
2009-01-25 00:00:00,10
2008-06-24 00:00:00,10
2008-04-27 00:00:00,8
2008-03-13 00:00:00,8
2007-07-31 00:00:00,10
2007-05-29 00:00:00,10
2007-04-10 00:00:00,10
2006-10-02 00:00:00,10
2006-01-25 00:00:00,8
2005-08-02 00:00:00,8
2005-02-08 00:00:00,9
2004-05-21 00:00:00,9
2003-10-01 00:00:00,8
2002-12-25 00:00:00,8
2002-09-23 00:00:00,10
2020-01-07 00:00:00,10
2020-01-01 00:00:00,10
2019-12-28 00:00:00,9
2019-12-24 00:00:00,10
2019-12-24 00:00:00,9
2019-12-19 00:00:00,10
2019-12-12 00:00:00,9
2019-12-11 00:00:00,10
2019-12-01 00:00:00,8
2019-11-30 00:00:00,10
2019-11-24 00:00:00,10
2019-11-22 00:00:00,10
2019-11-20 00:00:00,10
2019-11-12 00:00:00,10
2019-11-04 00:00:00,9
2019-10-31 00:00:00,10
2019-10-27 00:00:00,10
2019-10-23 00:00:00,10
2019-10-22 00:00:00,9
2019-10-17 00:00:00,10
2019-10-16 00:00:00,9
2019-10-13 00:00:00,10
2019-10-01 00:00:00,10
2019-09-27 00:00:00,9
2019-09-26 00:00:00,7
2019-09-04 00:00:00,10
2019-09-02 00:00:00,10
2019-08-31 00:00:00,10
2019-08-14 00:00:00,9
2019-08-14 00:00:00,9
2019-08-11 00:00:00,9
2019-07-28 00:00:00,8
2019-07-22 00:00:00,10
2019-07-16 00:00:00,7
2019-07-12 00:00:00,10
2019-06-09 00:00:00,10
2019-06-07 00:00:00,10
2019-06-07 00:00:00,10
2019-06-02 00:00:00,10
2019-05-23 00:00:00,9
2019-05-19 00:00:00,10
2019-05-18 00:00:00,8
2019-05-13 00:00:00,9
2019-05-05 00:00:00,8
2019-04-28 00:00:00,9
2019-04-27 00:00:00,10
2019-04-20 00:00:00,8
2019-03-26 00:00:00,10
2019-03-18 00:00:00,7
2019-03-04 00:00:00,10
2019-03-02 00:00:00,9
2019-02-24 00:00:00,9
2019-02-23 00:00:00,10
2019-02-20 00:00:00,10
2019-02-02 00:00:00,9
2019-01-29 00:00:00,10
2019-01-27 00:00:00,9
2019-01-22 00:00:00,5
2018-03-16 00:00:00,6
2017-10-15 00:00:00,10
2017-06-20 00:00:00,10
2017-06-07 00:00:00,10
2017-06-03 00:00:00,8
2017-05-24 00:00:00,10
2017-05-09 00:00:00,10
2015-10-20 00:00:00,6
2012-11-20 00:00:00,7
2010-12-21 00:00:00,8
2010-10-22 00:00:00,10
2010-09-05 00:00:00,8
2010-06-14 00:00:00,7
2009-11-23 00:00:00,9
2009-06-18 00:00:00,10
2009-06-05 00:00:00,10
2008-10-21 00:00:00,10
2008-10-11 00:00:00,10
2008-09-09 00:00:00,10
2008-08-21 00:00:00,10
2008-07-26 00:00:00,10
2008-06-16 00:00:00,9
2008-05-16 00:00:00,10
2008-04-19 00:00:00,9
2007-11-29 00:00:00,9
2007-05-31 00:00:00,9
2007-02-24 00:00:00,10
2007-01-27 00:00:00,10
2003-08-05 00:00:00,9
2003-07-10 00:00:00,9
2003-07-04 00:00:00,9
2003-06-24 00:00:00,9
2003-06-19 00:00:00,8
2003-06-16 00:00:00,10
2003-06-15 00:00:00,9
2003-06-04 00:00:00,10
2002-09-21 00:00:00,10
2002-09-20 00:00:00,10
2002-09-07 00:00:00,10
2002-01-04 00:00:00,9
2001-09-25 00:00:00,9
2002-05-05 00:00:00,9
2006-08-05 00:00:00,2
2006-12-17 00:00:00,2
2018-12-26 00:00:00,3
2010-01-20 00:00:00,6
2004-02-26 00:00:00,9
2003-03-16 00:00:00,6
2006-06-08 00:00:00,3
2006-05-01 00:00:00,8
2010-10-02 00:00:00,3
2016-03-08 00:00:00,1
2005-02-22 00:00:00,4
2019-02-03 00:00:00,1
2004-08-21 00:00:00,5
2012-11-19 00:00:00,10
2011-07-14 00:00:00,10
2011-05-30 00:00:00,9
2005-06-10 00:00:00,8
2004-10-09 00:00:00,10
2011-07-27 00:00:00,1
2003-03-07 00:00:00,1
2010-04-08 00:00:00,1
2007-06-06 00:00:00,1
2005-03-19 00:00:00,1
2018-04-24 00:00:00,2
2013-06-12 00:00:00,3
2019-01-07 00:00:00,10
2019-01-02 00:00:00,10
2018-12-30 00:00:00,10
2018-12-26 00:00:00,10
2018-12-16 00:00:00,8
2018-12-11 00:00:00,9
2018-12-09 00:00:00,8
2018-12-02 00:00:00,9
2018-11-29 00:00:00,10
2018-11-28 00:00:00,7
2018-11-20 00:00:00,9
2018-11-11 00:00:00,10
2018-11-05 00:00:00,8
2018-06-08 00:00:00,10
2018-04-27 00:00:00,9
2018-04-13 00:00:00,8
2018-04-12 00:00:00,10
2018-04-10 00:00:00,10
2018-04-07 00:00:00,10
2018-04-03 00:00:00,10
2018-03-24 00:00:00,10
2018-02-20 00:00:00,10
2018-02-11 00:00:00,9
2016-08-30 00:00:00,10
2016-05-05 00:00:00,10
2016-03-23 00:00:00,10
2016-03-13 00:00:00,10
2016-03-01 00:00:00,10
2016-02-14 00:00:00,10
2016-01-17 00:00:00,10
2016-01-15 00:00:00,10
2016-01-05 00:00:00,8
2015-08-18 00:00:00,10
2015-01-09 00:00:00,10
2014-11-24 00:00:00,10
2014-09-09 00:00:00,10
2014-08-22 00:00:00,9
2014-08-05 00:00:00,10
2014-06-16 00:00:00,10
2014-06-16 00:00:00,10
2014-03-26 00:00:00,10
2014-02-11 00:00:00,10
2014-01-30 00:00:00,10
2013-12-31 00:00:00,7
2013-08-10 00:00:00,10
2012-06-14 00:00:00,10
2012-02-17 00:00:00,10
2012-02-07 00:00:00,9
2011-12-05 00:00:00,8
2011-11-15 00:00:00,9
2010-08-03 00:00:00,10
2010-07-18 00:00:00,9
2010-07-10 00:00:00,10
2010-03-19 00:00:00,10
2009-12-27 00:00:00,9
2009-11-25 00:00:00,10
2009-08-06 00:00:00,10
2008-11-12 00:00:00,7
2007-06-26 00:00:00,10
2007-06-07 00:00:00,8
2007-05-31 00:00:00,10
2007-03-06 00:00:00,10
2007-03-01 00:00:00,10
2007-02-27 00:00:00,10
2007-02-10 00:00:00,10
2007-01-20 00:00:00,10
2007-01-20 00:00:00,10
2006-12-30 00:00:00,10
2006-07-02 00:00:00,10
2006-06-25 00:00:00,10
2006-06-07 00:00:00,8
2006-05-11 00:00:00,10
2006-04-10 00:00:00,9
2006-04-06 00:00:00,10
2006-04-02 00:00:00,10
2006-03-29 00:00:00,10
2006-03-24 00:00:00,10
2006-03-22 00:00:00,10
2006-03-22 00:00:00,10
2006-02-18 00:00:00,10
2006-02-01 00:00:00,7
2005-12-20 00:00:00,10
2005-11-27 00:00:00,10
2005-10-27 00:00:00,10
2005-10-13 00:00:00,9
2005-09-25 00:00:00,10
2004-07-16 00:00:00,10
2004-04-03 00:00:00,9
2004-03-23 00:00:00,8
2004-01-13 00:00:00,9
2003-11-10 00:00:00,8
2003-10-07 00:00:00,7
2003-08-24 00:00:00,10
2003-08-27 00:00:00,10
2003-08-12 00:00:00,10
2003-08-08 00:00:00,10
2003-08-02 00:00:00,10
2003-07-23 00:00:00,10
2003-07-19 00:00:00,10
2003-07-16 00:00:00,10
2003-07-14 00:00:00,10
2003-07-11 00:00:00,10
2003-07-10 00:00:00,10
2003-06-30 00:00:00,10
2003-06-26 00:00:00,10
2003-05-30 00:00:00,9
2003-05-18 00:00:00,10
2003-05-10 00:00:00,9
2003-04-07 00:00:00,7
2003-04-04 00:00:00,10
2003-04-03 00:00:00,10
2003-04-01 00:00:00,10
2003-03-31 00:00:00,10
2003-03-27 00:00:00,10
2003-03-27 00:00:00,10
2003-03-17 00:00:00,10
2002-11-26 00:00:00,10
2002-11-02 00:00:00,9
2002-10-12 00:00:00,10
2002-10-10 00:00:00,10
2002-10-05 00:00:00,9
2002-09-27 00:00:00,9
2002-09-20 00:00:00,10
2002-09-20 00:00:00,10
2002-09-20 00:00:00,10
2002-09-17 00:00:00,10
2002-09-14 00:00:00,10
2002-08-26 00:00:00,10
2002-08-15 00:00:00,10
2004-04-06 00:00:00,9
2002-05-17 00:00:00,10
2002-05-12 00:00:00,10
2002-03-21 00:00:00,10
2002-04-30 00:00:00,10
2002-04-24 00:00:00,10
2002-04-11 00:00:00,10
2001-07-28 00:00:00,6
2013-04-05 00:00:00,2
2007-05-30 00:00:00,3
2019-02-03 00:00:00,1
2016-06-13 00:00:00,7
2015-04-23 00:00:00,5
2014-05-03 00:00:00,10
2014-04-05 00:00:00,9
2013-04-04 00:00:00,10
2012-10-07 00:00:00,10
2012-09-02 00:00:00,10
2012-08-23 00:00:00,10
2010-01-24 00:00:00,9
2009-11-09 00:00:00,10
2009-08-26 00:00:00,8
2009-04-26 00:00:00,9
2009-03-02 00:00:00,7
2008-10-04 00:00:00,8
2008-09-21 00:00:00,10
2007-11-23 00:00:00,10
2007-11-18 00:00:00,10
2007-10-24 00:00:00,10
2007-10-23 00:00:00,10
2007-10-16 00:00:00,10
2007-07-05 00:00:00,10
2007-03-14 00:00:00,8
2006-10-01 00:00:00,7
2005-10-19 00:00:00,7
2005-03-08 00:00:00,7
2003-01-23 00:00:00,10
2002-11-30 00:00:00,10
2002-11-08 00:00:00,8
2002-09-27 00:00:00,9
2002-04-17 00:00:00,10
2005-10-17 00:00:00,5
2018-08-24 00:00:00,1
2018-11-22 00:00:00,4
2011-10-11 00:00:00,10
2011-08-19 00:00:00,9
2011-08-19 00:00:00,10
2011-06-28 00:00:00,10
2010-04-05 00:00:00,10
2005-04-03 00:00:00,7
2004-10-03 00:00:00,10
2004-07-25 00:00:00,10
2013-07-28 00:00:00,1
2019-08-23 00:00:00,1
2019-03-19 00:00:00,3
2014-11-10 00:00:00,7
2006-04-07 00:00:00,6
2001-07-23 00:00:00,9
2004-12-19 00:00:00,6
2018-06-17 00:00:00,1
2003-03-17 00:00:00,6
2015-12-18 00:00:00,2
2019-06-24 00:00:00,6
2012-08-20 00:00:00,2
2018-03-13 00:00:00,1
2019-11-23 00:00:00,1
2019-11-21 00:00:00,4
2019-09-19 00:00:00,1
2019-07-23 00:00:00,8
2019-04-28 00:00:00,1
2019-03-31 00:00:00,10
2018-11-07 00:00:00,8
2018-11-05 00:00:00,10
2018-10-13 00:00:00,10
2018-10-12 00:00:00,10
2018-10-10 00:00:00,10
2018-10-10 00:00:00,10
2018-09-28 00:00:00,10
2018-09-21 00:00:00,10
2018-09-19 00:00:00,10
2018-09-09 00:00:00,10
2018-08-29 00:00:00,7
2018-08-24 00:00:00,10
2018-08-17 00:00:00,10
2018-08-15 00:00:00,10
2018-08-14 00:00:00,9
2018-08-11 00:00:00,10
2018-08-08 00:00:00,10
2018-08-06 00:00:00,8
2018-08-05 00:00:00,10
2018-07-29 00:00:00,10
2018-07-24 00:00:00,10
2018-07-23 00:00:00,10
2018-07-07 00:00:00,10
2018-07-04 00:00:00,10
2018-07-02 00:00:00,10
2018-06-29 00:00:00,9
2018-06-14 00:00:00,9
2018-06-12 00:00:00,10
2018-06-10 00:00:00,10
2018-06-06 00:00:00,9
2018-06-04 00:00:00,6
2018-05-27 00:00:00,10
2018-05-25 00:00:00,9
2018-05-14 00:00:00,10
2018-05-09 00:00:00,9
2018-04-27 00:00:00,10
2018-02-22 00:00:00,8
2018-02-19 00:00:00,10
2018-02-15 00:00:00,10
2018-02-06 00:00:00,10
2018-02-03 00:00:00,10
2018-02-02 00:00:00,10
2018-02-01 00:00:00,10
2018-01-18 00:00:00,10
2018-01-09 00:00:00,10
2018-01-03 00:00:00,10
2018-01-02 00:00:00,10
2018-01-02 00:00:00,9
2017-12-18 00:00:00,9
2017-11-02 00:00:00,9
2017-10-29 00:00:00,10
2017-04-04 00:00:00,9
2017-03-20 00:00:00,10
2016-12-24 00:00:00,10
2016-11-08 00:00:00,10
2016-10-22 00:00:00,10
2016-10-16 00:00:00,10
2016-10-11 00:00:00,10
2016-09-27 00:00:00,10
2016-09-18 00:00:00,10
2016-09-15 00:00:00,10
2016-07-18 00:00:00,8
2016-07-12 00:00:00,10
2016-06-28 00:00:00,8
2016-05-24 00:00:00,10
2016-05-22 00:00:00,10
2016-05-19 00:00:00,9
2016-05-02 00:00:00,9
2016-04-24 00:00:00,10
2016-03-29 00:00:00,10
2016-02-24 00:00:00,9
2016-02-23 00:00:00,10
2016-01-17 00:00:00,10
2016-01-05 00:00:00,8
2015-12-31 00:00:00,10
2015-12-18 00:00:00,10
2015-12-14 00:00:00,10
2015-12-13 00:00:00,8
2015-12-06 00:00:00,8
2015-11-30 00:00:00,10
2015-11-27 00:00:00,10
2015-11-19 00:00:00,9
2015-11-17 00:00:00,10
2015-11-13 00:00:00,9
2015-09-18 00:00:00,9
2015-08-19 00:00:00,9
2015-08-18 00:00:00,10
2015-07-14 00:00:00,10
2015-05-17 00:00:00,9
2015-05-15 00:00:00,7
2015-05-09 00:00:00,10
2015-04-30 00:00:00,10
2015-04-19 00:00:00,8
2015-03-30 00:00:00,9
2015-02-23 00:00:00,10
2014-12-31 00:00:00,8
2014-12-29 00:00:00,9
2014-12-22 00:00:00,8
2014-11-13 00:00:00,9
2014-11-03 00:00:00,10
2014-10-22 00:00:00,10
2014-10-15 00:00:00,10
2014-10-10 00:00:00,10
2014-09-23 00:00:00,10
2014-09-11 00:00:00,9
2014-09-06 00:00:00,10
2014-07-02 00:00:00,9
2014-06-08 00:00:00,10
2014-06-01 00:00:00,9
2014-05-13 00:00:00,10
2014-04-29 00:00:00,9
2014-01-06 00:00:00,8
2014-01-03 00:00:00,9
2013-12-23 00:00:00,10
2013-12-06 00:00:00,10
2013-12-01 00:00:00,10
2013-11-25 00:00:00,10
2013-11-19 00:00:00,10
2013-10-07 00:00:00,9
2013-10-04 00:00:00,10
2013-09-09 00:00:00,10
2013-08-14 00:00:00,8
2013-07-30 00:00:00,10
2013-07-20 00:00:00,7
2013-06-20 00:00:00,10
2013-06-14 00:00:00,9
2013-04-23 00:00:00,10
2013-04-16 00:00:00,8
2012-08-06 00:00:00,10
2012-08-01 00:00:00,10
2012-06-12 00:00:00,10
2012-06-08 00:00:00,10
2012-06-03 00:00:00,7
2012-05-20 00:00:00,10
2012-05-18 00:00:00,10
2011-08-24 00:00:00,10
2010-01-27 00:00:00,10
2009-12-13 00:00:00,10
2009-09-04 00:00:00,10
2009-08-16 00:00:00,9
2009-06-05 00:00:00,8
2009-06-04 00:00:00,10
2008-06-19 00:00:00,9
2006-09-04 00:00:00,8
2005-09-03 00:00:00,9
2005-03-14 00:00:00,10
2004-07-08 00:00:00,10
2004-07-06 00:00:00,9
2004-07-01 00:00:00,10
2004-06-21 00:00:00,10
2004-01-13 00:00:00,10
2003-12-28 00:00:00,10
2003-12-16 00:00:00,10
2003-12-13 00:00:00,10
2003-11-22 00:00:00,10
2003-11-21 00:00:00,10
2003-11-05 00:00:00,10
2003-10-31 00:00:00,10
2003-10-30 00:00:00,9
2003-10-14 00:00:00,10
2003-07-18 00:00:00,8
2003-05-22 00:00:00,8
2003-05-16 00:00:00,8
2003-05-14 00:00:00,10
2003-05-12 00:00:00,10
2003-05-12 00:00:00,10
2003-05-11 00:00:00,10
2003-05-10 00:00:00,10
2003-05-02 00:00:00,10
2003-05-02 00:00:00,9
2003-04-29 00:00:00,8
2003-04-29 00:00:00,10
2003-04-23 00:00:00,10
2003-04-24 00:00:00,10
2003-04-18 00:00:00,10
2003-04-19 00:00:00,10
2003-04-21 00:00:00,10
2003-04-19 00:00:00,9
2003-04-19 00:00:00,10
2003-04-19 00:00:00,10
2003-04-17 00:00:00,9
2003-04-18 00:00:00,10
2003-04-18 00:00:00,10
2003-04-16 00:00:00,10
2003-04-16 00:00:00,10
2003-04-16 00:00:00,10
2003-04-15 00:00:00,10
2003-04-11 00:00:00,10
2003-04-07 00:00:00,10
2003-04-05 00:00:00,9
2003-04-05 00:00:00,9
2003-04-02 00:00:00,10
2003-01-24 00:00:00,10
2003-01-20 00:00:00,10
2003-01-13 00:00:00,8
2003-01-11 00:00:00,9
2003-01-04 00:00:00,9
2003-01-04 00:00:00,10
2003-01-02 00:00:00,10
2002-12-30 00:00:00,10
2002-12-23 00:00:00,10
2002-12-20 00:00:00,10
2002-12-17 00:00:00,9
2002-12-12 00:00:00,8
2002-12-12 00:00:00,8
2002-12-05 00:00:00,8
2002-12-06 00:00:00,9
2002-12-01 00:00:00,9
2002-11-30 00:00:00,10
2002-11-29 00:00:00,10
2002-11-03 00:00:00,10
2002-10-21 00:00:00,9
2002-10-08 00:00:00,10
2002-09-27 00:00:00,9
2002-08-29 00:00:00,8
